college,department,prefix,number,title,credit hours,course attr,corequisites,prerequisites,course description
Business,Lynn Pippenger Schl of Account,ACG,2021,Princ Financial Accounting,3,N/A,N/A,N/A,Study of basic accounting principles including the recording and reporting of financial activity. The preparation and interpretation of financial statements.
Business,Lynn Pippenger Schl of Account,ACG,2071,Principles of Managerial Acc,3,N/A,N/A,ACG 2021 Minimum Grade: C- or ACG 2021C Minimum Grade: C- or ACG 2011 Minimum Grade: C- ,A study of the accountant's role in assisting management in the planning and controlling of business activities.
Business,Lynn Pippenger Schl of Account,ACG,3074,Managerial Acc for Non-Bus Maj,3,State Communication Req.USFT State Communication Req.Information & Data Lit,N/A,N/A,The study of the uses of accounting data internally by managers in planning and controlling the affairs of organizations.
Business,Lynn Pippenger Schl of Account,ACG,3103,Intermed Financial Acc I,3,N/A,ACG3341,ACG 2021 Minimum Grade: C or ACG 2021C Minimum Grade: C or ACG 2001 Minimum Grade: C or ACG 2011 Minimum Grade: C and ACG 2071 Minimum Grade: C ,"Theory and methodology underlying financial reporting, including the FASB's conceptual framework, the accounting process, financial statements, accounting changes, present value applications, and current assets."
Business,Lynn Pippenger Schl of Account,ACG,3113,Intermed Financial Acc II,3,N/A,N/A,ACG 3103 Minimum Grade: C and ACG 3341 Minimum Grade: C or ACG 3401 Minimum Grade: C or TAX 4001 Minimum Grade: C ,"Topics covered include property, plant and equipment, intangibles, current liabilities, long-term debt, leases, tax allocation, statement of cash flows."
Business,Lynn Pippenger Schl of Account,ACG,3341,Cost Accounting & Control I,3,N/A,N/A,ACG 2021C Minimum Grade: C or ACG 2021 Minimum Grade: C and ACG 2071 Minimum Grade: C and ACG 3103 Minimum Grade: C (may be taken during same term),"Deals with cost accounting systems for different entities, cost behavior patterns, cost-volume-profit analysis, relevant information for decision making, and budgets and standard costs for planning and control."
Business,Lynn Pippenger Schl of Account,ACG,3401,Accounting Information Systems,3,N/A,N/A,ACG 3103 Minimum Grade: C and ACG 3341 Minimum Grade: C ,"This course provides students with a basic understanding of well-controlled information systems in a variety of technological environments with added emphasis on the collection, processing, and reporting of accounting information."
Business,Lynn Pippenger Schl of Account,ACG,4123,Intermed Financial Acc III,3,N/A,N/A,ACG 3113 Minimum Grade: C ,"Theory and practice underlying stockholders' equity, dilutive securities and EPS, derivatives, revenue recognition, post-retirement benefits, error analysis, full disclosure, and other current accounting topics"
Business,Lynn Pippenger Schl of Account,ACG,4351,Cost Accounting & Control II,3,USFT Global Citizens Proj CrsDecent Work,N/A,ACG 3341 Minimum Grade: C and ACG 3103 Minimum Grade: C ,"Application of the material covered in ACG 3341 with specific emphasis on cost allocations, performance measurements, analysis of current cost accounting systems and accounting in today's environment (giving consideration to the influences of the international environment)."
Business,Lynn Pippenger Schl of Account,ACG,4632,Auditing I,3,N/A,N/A,ACG 3113 Minimum Grade: C and ACG 3401 Minimum Grade: C ,"This course provides a sound conceptual foundation of basic auditing process from the perspective of the public accounting profession. Professional standards, ethics, legal responsibilities, and the utilization of technology are addressed."
