College,Department,Prefix,Number,Title,Credits,Attributes
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,2021,Principles of Financial Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,2071,Principles of Managerial Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,3074,Managerial Accounting for Non-Business Majors,3," 6AC, TGEI"
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,3103,Intermediate Financial Accounting I,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,3113,Intermediate Financial Accounting II,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,3341,Cost Accounting and Control I,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,3401,Accounting Information Systems,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4123,Intermediate Financial Accounting III,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4351,Cost Accounting and Control II,3," GCPC, SD08"
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4632,Auditing I,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4642,Auditing II,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4684,Fraud Examinations,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4840,Analytics in Accounting,3," CST, TGEH"
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4842,Financial and Managerial Reporting with Data Analytics,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4843,Advanced Auditing - Regulation Technology and Analytics,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4901,Independent Study,1-3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4911,Independent Research,1-4,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4912,Undergraduate Research,3," TGEH, UGR"
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4931,Selected Topics in Accounting,1-3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4940,Accounting Internship,3," INT, TGEH"
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,4970,Accounting Honors Thesis,3, 6AC
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,5205,Advanced Financial Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,5375,Valuation of Closely Held Businesses,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,5505,Governmental and Not-For-Profit Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,5675,Internal and Operational Auditing,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,5841,Analytics in Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6026,Accounting Concepts for Managers,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6346,Contemporary Issues in Managerial Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6419,Data Wrangling and Visualization for Accounting Professionals,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6457,"Accounting Systems Audit, Control, and Security",3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6636,Contemporary Issues in Auditing,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6686,Fraud Examination,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6687,Fraud and Financial Reporting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6688,Forensic Accounting and Legal Environment,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6846C,Innovation and Analytics in Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6875,Financial Reporting and Professional Issues,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6905,Independent Study,1-12,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6915,Directed Research,1-12,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,6936,Selected Topics in Accounting,1-4,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7156,Seminar in Financial Accounting,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7157,Seminar in Archival Accounting Research,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7399,Seminar in Behavioral Accounting Research,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7415,Seminar in Accounting Information Systems,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7646,Seminar in Auditing,3,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7936,Seminar in Special Topics in Accounting,1-4,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7939,Executive Issues in Accounting,2-4,
Muma College of Business,Lynn Pippenger School of Accountancy,ACG,7980,Dissertation in Accounting,2-21,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6070,International Adult Education,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6080,Adult Education in the United States,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6160,Program Management in Adult Education,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6161,Curriculum Construction in Adult Education,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6198,Effective Continuing Education for Professionals,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6360,Methods of Teaching Adult Education,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6370,Human Resource Development,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6385,The Adult Learner,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6389,Adult Learning and Cognitive Styles,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6906,Independent Study,1-19,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6931,Selected Topics in ADE and HRD,1-5,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,6966,Final Master's Seminar,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7388,Adult Development and Learning,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7677,Emerging Trends in Adult Education: Critical Race Theory,3,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7910,Directed Research in Adult Education,1-4,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7937,Seminar in Adult Education,1-4,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7947,Advanced Internship: Adult Education,2-4,
College of Education,"Department of Leadership, Policy, and Lifelong Learning",ADE,7980,Dissertation,2-30,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,2214,Mass Communications Design and Content Creation,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3008,Principles of Advertising,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3101,Advertising Creativity,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3300,Media Planning for Advertising,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,3500,Advertising Research,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4204,Advanced Advertising Creativity,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4301,Advanced Media Strategy,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4310,Digital Media,3,
College of Arts and Sciences,Zimmerman School of Advertising and Mass Communications,ADV,4600,Advertising Management,3,
